Title,Director,Budget (INR Crores),Duration (mins),Genre
Trapped,Luis Mandoki,249.0,106,Action
Narc,Joe Carnahan,53.95,105,Crime
Dark Blue,Ron Shelton,124.5,118,Crime
Dahmer,David Jacobson,2.08,101,Biography
Boat Trip,Mort Nathan,166.0,94,Comedy
Nicholas Nickleby,Douglas McGrath,83.0,132,Adventure
Bad Company,Joel Schumacher,581.0,116,Action
Spider,David Cronenberg,83.0,98,Drama
Snow Dogs,Brian Levant,273.9,99,Adventure
The Quiet American,Phillip Noyce,249.0,101,Drama
The Santa Clause 2,Michael Lembeck,539.5,104,Comedy
Slackers,Dewey Nicks,116.2,86,Comedy
Sorority Boys,Wallace Wolodarsky,99.6,93,Comedy
The Country Bears,Peter Hastings,290.5,88,Comedy
All About the Benjamins,Kevin Bray,124.5,95,Action
Abandon,Stephen Gaghan,207.5,99,Drama
Gerry,Gus Van Sant,29.05,103,Adventure
Clockstoppers,Jonathan Frakes,215.8,94,Action
Peter Pan 2: Return to Never Land,Robin Budd,166.0,72,Animation
Poolhall Junkies,Mars Callahan,33.2,99,Comedy
Feardotcom,William Malone,332.0,101,Crime
No Good Deed,Bob Rafelson,99.6,97,Crime
Darkness,Jaume BalaguerÃ³,87.98,88,Horror
Analyze That,Harold Ramis,498.0,96,Comedy
The Banger Sisters,Bob Dolman,83.0,98,Comedy
The Wild Thornberrys,Cathy Malkasian,207.5,85,Animation
The Adventures of Pluto Nash,Ron Underwood,830.0,95,Action
Eight Crazy Nights,Seth Kearsley,282.2,76,Animation
Full Frontal,Steven Soderbergh,16.6,101,Comedy
Moonlight Mile,Brad Silberling,174.3,117,Drama
Half Past Dead,Don Michael Paul,107.9,98,Action
Life or Something Like It,Stephen Herek,332.0,103,Comedy
Showtime,Tom Dey,705.5,95,Action
Ted Bundy,Matthew Bright,9.96,99,Biography
Ballistic: Ecks vs. Sever,Wych Kaosayananda,581.0,91,Action
Brown Sugar,Rick Famuyiwa,66.4,109,Comedy
Deuces Wild,Scott Kalvert,83.0,96,Action
The Emperor's Club,Michael Hoffman,103.75,109,Drama
All or Nothing,Mike Leigh,74.7,128,Drama
Real Women Have Curves,Patricia Cardoso,24.9,90,Comedy
The Crocodile Hunter: Collision Course,John Stainton,99.6,90,Action
Possession,Neil LaBute,207.5,102,Drama
City by the Sea,Michael Caton-Jones,332.0,108,Crime
Heaven,Tom Tykwer,91.3,97,Crime
Kill Bill: Vol. 1,Quentin Tarantino,249.0,111,Action
Pirates of the Caribbean: the Curse of the Black Pearl,Gore Verbinski,1162.0,143,Action
The Lord of the Rings: The Return of the King,Peter Jackson,780.2,201,Action
Old School,Todd Phillips,199.2,88,Comedy
Mystic River,Clint Eastwood,207.5,138,Crime
Love Actually,Richard Curtis,332.0,135,Comedy
The Life of David Gale,Alan Parker,315.4,130,Crime
2 Fast 2 Furious,John Singleton,630.8,107,Action
Underworld,Len Wiseman,182.6,121,Action
Oldboy,Park Chan-Wook,24.9,120,Action
Lost in Translation,Sofia Coppola,33.2,102,Comedy
Looney Tunes: Back in Action,Joe Dante,664.0,91,Animation
Big Fish,Tim Burton,581.0,125,Adventure
The Matrix Reloaded,Lana Wachowski,1245.0,138,Action
The Dreamers,Bernardo Bertolucci,124.5,115,Drama
Memories of Murder,Bong Joon Ho,23.24,132,Crime
Finding Nemo,Andrew Stanton,780.2,100,Animation
Hulk,Ang Lee,1137.1,138,Action
School of Rock,Richard Linklater,290.5,109,Comedy
Thirteen,Catherine Hardwicke,16.6,100,Drama
Wrong Turn,Rob Schmidt,104.58,84,Horror
The Italian Job,F. Gary Gray,498.0,111,Action
Terminator 3: Rise of the Machines,Jonathan Mostow,1660.0,109,Action
Peter Pan,P.J. Hogan,830.0,113,Adventure
Monster,Patty Jenkins,66.4,109,Biography
The Matrix Revolutions,Lana Wachowski,1245.0,129,Action
Daredevil,Mark Steven Johnson,647.4,103,Action
Master and Commander: the Far Side of the World,Peter Weir,1245.0,138,Action
The Missing,Ron Howard,498.0,137,Adventure
The Room,Tommy Wiseau,49.8,99,Drama
The Texas Chainsaw Massacre,Marcus Nispel,78.85,98,Crime
S.W.A.T.,Clark Johnson,664.0,117,Action
The Last Samurai,Edward Zwick,1162.0,154,Action
Holes,Andrew Davis,166.0,117,Adventure
Timeline,Richard Donner,664.0,116,Action
X2: X-Men United,Bryan Singer,913.0,134,Action
The Rundown,Peter Berg,705.5,104,Action
House of 1000 Corpses,Rob Zombie,58.1,89,Horror
Identity,James Mangold,232.4,90,Mystery
Once Upon a Time in Mexico,Robert Rodriguez,240.7,102,Action
Cold Mountain,Anthony Minghella,655.7,154,Adventure
Cheaper by the Dozen,Shawn Levy,332.0,98,Comedy
In the Cut,Jane Campion,99.6,119,Mystery
Secondhand Lions,Tim McCanlies,249.0,109,Comedy
Scary Movie 3,David Zucker,398.4,84,Comedy
How to Lose a Guy in 10 Days,Donald Petrie,415.0,116,Comedy
The League of Extraordinary Gentlemen,Stephen Norrington,647.4,110,Action
What a Girl Wants,Dennie Gordon,207.5,105,Comedy
Bad Boys II,Michael Bay,1079.0,147,Action
Open Range,Kevin Costner,182.6,139,Action
Mona Lisa Smile,Mike Newell,539.5,117,Drama
Freddy vs. Jason,Ronny Yu,249.0,97,Action
Bruce Almighty,Tom Shadyac,672.3,101,Comedy
Dogville,Lars von Trier,83.0,178,Crime
Elf,Jon Favreau,273.9,97,Adventure
Freaky Friday,Mark Waters,166.0,97,Comedy
Charlie's Angels: Full Throttle,McG,996.0,106,Action
Legally Blonde 2,Charles Herman-Wurmfeld,373.5,95,Comedy
Dickie Roberts: Former Child Star,Sam Weisman,141.1,98,Comedy
Anger Management,Peter Segal,622.5,106,Comedy
Open Water,Chris Kentis,4.15,79,Adventure
Something's Gotta Give,Nancy Meyers,664.0,128,Comedy
Girl with a Pearl Earring,Peter Webber,99.6,100,Biography
The Cat in the Hat,Bo Welch,904.7,82,Adventure
Brother Bear,Aaron Blaise,1062.4,85,Animation
The Brown Bunny,Vincent Gallo,83.0,93,Drama
Tears of the Sun,Antoine Fuqua,622.5,121,Action
Final Destination 2,David R. Ellis,215.8,90,Horror
21 Grams,Alejandro G. IÃ±Ã¡rritu,166.0,124,Crime
Intolerable Cruelty,Joel Coen,498.0,100,Comedy
Johnny English,Peter Howitt,332.0,87,Action
The Hunted,William Friedkin,456.5,94,Action
Matchstick Men,Ridley Scott,514.6,116,Comedy
Under the Tuscan Sun,Audrey Wells,149.4,113,Comedy
Seabiscuit,Gary Ross,722.1,140,Drama
American Wedding,Jesse Dylan,456.5,96,Comedy
Just Married,Shawn Levy,149.4,95,Comedy
Lara Croft Tomb Raider: The Cradle of Life,Jan de Bont,788.5,117,Action
Elephant,Gus Van Sant,24.9,81,Crime
Darkness Falls,Jonathan Liebesman,91.3,86,Fantasy
Spy Kids 3-D: Game Over,Robert Rodriguez,315.4,84,Action
Gigli,Martin Brest,448.2,121,Comedy
Out of Time,Carl Franklin,415.0,105,Crime
The Core,Jon Amiel,498.0,135,Action
Dumb and Dumberer: When Harry Met Lloyd,Troy Miller,157.7,85,Comedy
Runaway Jury,Gary Fleder,498.0,127,Crime
Jeepers Creepers 2,Victor Salva,141.1,104,Horror
Shanghai Knights,David Dobkin,415.0,114,Action
Dreamcatcher,Lawrence Kasdan,564.4,134,Drama
Daddy Day Care,Steve Carr,498.0,92,Comedy
Paycheck,John Woo,498.0,119,Action
Duplex,Danny DeVito,332.0,89,Comedy
Honey,Bille Woodruff,149.4,94,Drama
Wonderland,James Cox,41.5,104,Crime
The Haunted Mansion,Rob Minkoff,747.0,88,Comedy
Sinbad: Legend of the Seven Seas,Patrick Gilmore,498.0,86,Animation
House of the Dead,Uwe Boll,99.6,90,Action
Gods and Generals,Ron Maxwell,464.8,219,Biography
House of Sand and Fog,Vadim Perelman,136.95,126,Crime
A Man Apart,F. Gary Gray,298.8,109,Action
The Station Agent,Tom McCarthy,4.15,89,Comedy
Basic,John McTiernan,415.0,98,Action
The Human Stain,Robert Benton,249.0,106,Drama
Grind,Casey La Scala,49.8,105,Adventure
Gothika,Mathieu Kassovitz,332.0,98,Horror
Agent Cody Banks,Harald Zwart,232.4,102,Action
Bad Santa,Terry Zwigoff,190.9,92,Comedy
Shattered Glass,Billy Ray,49.8,94,Drama
The Lizzie McGuire Movie,Jim Fall,141.1,94,Adventure
The Cooler,Wayne Kramer,26.56,101,Drama
Cradle 2 the Grave,Andrzej Bartkowiak,207.5,101,Action
Uptown Girls,Boaz Yakin,166.0,92,Comedy
Calendar Girls,Nigel Cole,83.0,108,Comedy
View from the Top,Bruno Barreto,249.0,87,Comedy
Malibu's Most Wanted,John Whitesell,124.5,86,Comedy
Kangaroo Jack,David McNally,498.0,89,Action
Radio,Michael Tollin,290.5,109,Biography
The Recruit,Roger Donaldson,381.8,115,Action
Young Adam,David Mackenzie,53.12,98,Crime
Hollywood Homicide,Ron Shelton,622.5,116,Action
The Triplets of Belleville,Sylvain Chomet,78.85,80,Animation
Stuck on You,Bobby Farrelly,456.5,118,Comedy
Bulletproof Monk,Paul Hunter,431.6,104,Action
Down with Love,Peyton Reed,290.5,101,Comedy
Biker Boyz,Reggie Rock Bythewood,199.2,110,Action
The Medallion,Gordon Chan,340.3,88,Action
The Shape of Things,Neil LaBute,33.2,96,Comedy
Party Monster,Fenton Bailey,41.5,98,Biography
Bringing Down the House,Adam Shankman,273.9,105,Comedy
Willard,Glen Morgan,166.0,100,Drama
The in-Laws,Andrew Fleming,332.0,98,Action
Confidence,James Foley,124.5,97,Crime
Latter Days,C. Jay Cox,7.05,107,Comedy
Beyond Borders,Martin Campbell,290.5,127,Adventure
The Fighting Temptations,Jonathan Lynn,249.0,123,Comedy
Anything Else,Woody Allen,149.4,108,Comedy
I Capture the Castle,Tim Fywell,66.4,113,Drama
The Jungle Book 2,Steve Trenbirth,166.0,72,Animation
My Boss's Daughter,David Zucker,116.2,86,Comedy
A Guy Thing,Chris Koch,166.0,101,Comedy
Intermission,John Crowley,41.5,105,Comedy
All the Real Girls,David Gordon Green,20.75,108,Drama
From Justin to Kelly,Robert Iscove,99.6,81,Comedy
Owning Mahowny,Richard Kwietniowski,83.0,104,Crime
Head of State,Chris Rock,292.16,95,Comedy
The Singing Detective,Keith Gordon,66.4,109,Comedy
Pieces of April,Peter Hedges,2.49,80,Comedy
Code 46,Michael Winterbottom,62.25,93,Drama
The Order,Brian Helgeland,315.4,102,Horror
Veronica Guerin,Joel Schumacher,141.1,98,Biography
Shade,Damian Nieman,83.0,101,Crime
The Mother,Roger Michell,20.75,112,Drama
Rugrats Go Wild,John Eng,207.5,80,Animation
Luther,Eric Till,249.0,123,Biography
Saints and Soldiers,Ryan Little,6.47,90,Action
Taxi 3,GÃ©rard Krawczyk,10.79,84,Action
The Company,Robert Altman,124.5,112,Drama
Good Boy,John Hoffman,149.4,87,Comedy
How to Deal,Clare Kilner,132.8,101,Comedy
The Girl Next Door,Luke Greenfield,207.5,109,Comedy
EuroTrip,Jeff Schaffer,207.5,92,Comedy
Dodgeball: A True Underdog Story,Rawson Marshall Thurber,166.0,92,Comedy
White Chicks,Keenen Ivory Wayans,307.1,109,Comedy
Mean Girls,Mark Waters,141.1,97,Comedy
Harry Potter and the Prisoner of Azkaban,Alfonso CuarÃ³n,1079.0,142,Adventure
Troy,Wolfgang Petersen,1452.5,163,Drama
Eternal Sunshine of the Spotless Mind,Michel Gondry,166.0,108,Drama
Kill Bill: Vol. 2,Quentin Tarantino,249.0,137,Action
The Notebook,Nick Cassavetes,240.7,123,Drama
The Terminal,Steven Spielberg,498.0,128,Comedy
Van Helsing,Stephen Sommers,1328.0,131,Action
The Incredibles,Brad Bird,763.6,115,Animation
Saw,James Wan,9.96,103,Horror
Collateral,Michael Mann,539.5,120,Crime
The Aviator,Martin Scorsese,913.0,170,Biography
Spider-Man 2,Sam Raimi,1660.0,127,Action
The Punisher,Jonathan Hensleigh,273.9,124,Action
"I, Robot",Alex Proyas,996.0,115,Action
Howl's Moving Castle,Hayao Miyazaki,199.2,119,Animation
Spanglish,James L. Brooks,664.0,131,Comedy
Million Dollar Baby,Clint Eastwood,249.0,132,Drama
The Village,M. Night Shyamalan,498.0,108,Drama
The Butterfly Effect,Eric Bress,107.9,113,Drama
The Day After Tomorrow,Roland Emmerich,1037.5,124,Action
Napoleon Dynamite,Jared Hess,3.32,96,Comedy
50 First Dates,Peter Segal,622.5,99,Comedy
Man on Fire,Tony Scott,581.0,146,Action
13 Going on 30,Gary Winick,307.1,98,Comedy
Shrek 2,Andrew Adamson,1245.0,93,Animation
Crash,Paul Haggis,53.95,112,Crime
The Bourne Supremacy,Paul Greengrass,622.5,108,Action
Dawn of the Dead,Zack Snyder,215.8,101,Action
The Passion of the Christ,Mel Gibson,249.0,127,Drama
Resident Evil: Apocalypse,Alexander Witt,373.5,94,Action
Hellboy,Guillermo del Toro,547.8,122,Action
Anchorman: The Legend of Ron Burgundy,Adam McKay,215.8,94,Comedy
Walking Tall,Kevin Bray,381.8,86,Action
The Life Aquatic with Steve Zissou,Wes Anderson,415.0,119,Action
A Series of Unfortunate Events,Brad Silberling,1162.0,108,Adventure
The Machinist,Brad Anderson,41.5,101,Drama
The Phantom of the Opera,Joel Schumacher,581.0,143,Drama
Closer,Mike Nichols,224.1,104,Drama
National Treasure,Jon Turteltaub,830.0,131,Action
Alexander,Oliver Stone,1286.5,175,Action
The Chronicles of Riddick,David Twohy,871.5,119,Action
The Manchurian Candidate,Jonathan Demme,664.0,129,Drama
King Arthur,Antoine Fuqua,996.0,126,Action
Ocean's Twelve,Steven Soderbergh,913.0,125,Crime
Harold & Kumar Go to White Castle,Danny Leiner,74.7,88,Adventure
Blade: Trinity,David S. Goyer,539.5,113,Action
Alien vs. Predator,Paul W.S. Anderson,498.0,101,Action
Meet the Fockers,Jay Roach,664.0,115,Comedy
Sideways,Alexander Payne,132.8,127,Comedy
Friday Night Lights,Peter Berg,249.0,118,Action
Starsky & Hutch,Todd Phillips,498.0,101,Comedy
Shark Tale,Bibo Bergeron,622.5,90,Animation
Before Sunset,Richard Linklater,22.41,80,Drama
Ella Enchanted,Tommy O'Haver,257.3,96,Comedy
Primer,Shane Carruth,0.06,77,Drama
A Cinderella Story,Mark Rosman,157.7,95,Comedy
Along Came Polly,John Hamburg,348.6,90,Comedy
The SpongeBob SquarePants Movie,Stephen Hillenburg,249.0,87,Animation
Scooby-Doo 2: Monsters Unleashed,Raja Gosnell,664.0,93,Adventure
The Ladykillers,Ethan Coen,290.5,104,Comedy
Hotel Rwanda,Terry George,145.25,121,Biography
Taking Lives,D.J. Caruso,373.5,103,Crime
Kung Fu Hustle,Stephen Chow,166.0,99,Action
The Perfect Score,Brian Robbins,332.0,93,Comedy
Garden State,Zach Braff,20.75,102,Comedy
The Princess Diaries 2: Royal Engagement,Garry Marshall,332.0,113,Comedy
Twisted,Philip Kaufman,415.0,97,Crime
Catwoman,Pitof,830.0,104,Action
Seed of Chucky,Don Mancini,99.6,87,Comedy
2046,Kar-Wai Wong,99.6,129,Drama
Torque,Joseph Kahn,332.0,84,Action
Ray,Taylor Hackford,332.0,152,Biography
Chasing Liberty,Andy Cadiff,190.9,111,Comedy
Secret Window,David Koepp,332.0,96,Drama
Bride & Prejudice,Gurinder Chadha,58.1,122,Comedy
Finding Neverland,Marc Forster,207.5,106,Biography
Team America: World Police,Trey Parker,265.6,98,Action
Sleepover,Joe Nussbaum,83.0,89,Comedy
The Grudge,Takashi Shimizu,83.0,91,Horror
Around the World in 80 Days,Frank Coraci,913.0,120,Action
Wimbledon,Richard Loncraine,257.3,98,Comedy
The Adventures of Sharkboy and Lavagirl 3-D,Robert Rodriguez,415.0,93,Action
The Polar Express,Robert Zemeckis,1369.5,100,Animation
Without a Paddle,Steven Brill,157.7,95,Adventure
Miracle,Gavin O'Connor,232.4,135,Biography
Mindhunters,Renny Harlin,224.1,106,Crime
The Prince and Me,Martha Coolidge,182.6,111,Comedy
Taxi,Tim Story,207.5,97,Action
Wicker Park,Paul McGuigan,249.0,114,Drama
Cellular,David R. Ellis,207.5,94,Action
Kinsey,Bill Condon,91.3,118,Biography
Anacondas: The Hunt for the Blood Orchid,Dwight H. Little,166.0,97,Action
Confessions of a Teenage Drama Queen,Sara Sugarman,124.5,89,Comedy
Raising Helen,Garry Marshall,415.0,119,Comedy
Fat Albert,Joel Zwick,215.8,93,Comedy
Sky Captain and the World of Tomorrow,Kerry Conran,581.0,106,Action
The Stepford Wives,Frank Oz,747.0,93,Comedy
Shall We Dance,Peter Chelsom,415.0,106,Comedy
After the Sunset,Brett Ratner,498.0,97,Action
A Very Long Engagement,Jean-Pierre Jeunet,469.78,133,Drama
The Forgotten,Joseph Ruben,348.6,91,Drama
Flight of the Phoenix,John Moore,373.5,113,Action
Saved!,Brian Dannelly,41.5,92,Comedy
Garfield,Peter Hewitt,415.0,80,Animation
In Good Company,Paul Weitz,215.8,109,Comedy
First Daughter,Forest Whitaker,249.0,106,Comedy
Jersey Girl,Kevin Smith,290.5,102,Comedy
The Alamo,John Lee Hancock,888.1,137,Drama
Raise Your Voice,Sean McNamara,124.5,103,Family
Hidalgo,Joe Johnston,830.0,136,Action
Bridget Jones: The Edge of Reason,Beeban Kidron,332.0,108,Comedy
Mean Creek,Jacob Estes,4.15,90,Crime
Dirty Dancing: Havana Nights,Guy Ferland,207.5,86,Drama
D.E.B.S.,Angela Robinson,29.05,91,Action
Club Dread,Jay Chandrasekhar,71.38,104,Comedy
Bad Education,Pedro AlmodÃ³var,41.5,106,Crime
Soul Plane,Jessy Terrero,132.8,86,Comedy
3-Iron,Kim Ki-duk,8.3,88,Crime
Thunderbirds,Jonathan Frakes,473.1,95,Action
New York Minute,Dennie Gordon,249.0,91,Comedy
Birth,Jonathan Glazer,166.0,100,Drama
Vanity Fair,Mira Nair,190.9,141,Drama
Exorcist: the Beginning,Renny Harlin,664.0,114,Horror
A Dirty Shame,John Waters,124.5,89,Comedy
I Heart Huckabees,David O. Russell,166.0,107,Comedy
The Door in the Floor,Tod Williams,62.25,111,Comedy
The Whole Ten Yards,Howard Deutch,332.0,98,Comedy
Envy,Barry Levinson,332.0,99,Comedy
Alfie,Charles Shyer,498.0,103,Comedy
Superbabies: Baby Geniuses 2,Bob Clark,166.0,88,Comedy
Johnson Family Vacation,Christopher Erskin,99.6,97,Comedy
Spartan,David Mamet,159.78,106,Action
Home on the Range,Will Finn,913.0,76,Animation
Christmas with the Kranks,Joe Roth,498.0,99,Comedy
Win a Date with Tad Hamilton!,Robert Luketic,182.6,95,Comedy
Night Watch,Timur Bekmambetov,34.86,114,Action
The Merchant of Venice,Michael Radford,249.0,131,Drama
Ladder 49,Jay Russell,456.5,115,Action
You Got Served,Chris Stokes,66.4,95,Drama
Beyond the Sea,Kevin Spacey,190.9,118,Biography
Eulogy,Michael Clancy,53.95,91,Comedy
The Big Bounce,George Armitage,415.0,88,Comedy
Veer-Zaara,Yash Chopra,58.1,192,Drama
Little Black Book,Nick Hurran,290.5,107,Comedy
Laws of Attraction,Peter Howitt,265.6,90,Comedy
Maria Full of Grace,Joshua Marston,24.9,101,Crime
Vera Drake,Mike Leigh,91.3,125,Crime
It's All Gone Pete Tong,Michael Dowse,16.6,90,Biography
Catch That Kid,Bart Freundlich,99.6,91,Action
Tae Guk Gi: The Brotherhood of War,Je-kyu Kang,106.24,140,Action
She Hate Me,Spike Lee,66.4,138,Comedy
Welcome to Mooseport,Donald Petrie,249.0,110,Comedy
Clifford's Really Big Movie,Robert C. Ramirez,0.58,74,Animation
Harry Potter and the Goblet of Fire,Mike Newell,1245.0,157,Adventure
The 40-Year-Old Virgin,Judd Apatow,215.8,116,Comedy
Memoirs of a Geisha,Rob Marshall,705.5,145,Drama
Pride & Prejudice,Joe Wright,232.4,129,Drama
Batman Begins,Christopher Nolan,1245.0,140,Action
Brokeback Mountain,Ang Lee,116.2,134,Drama
Sin City,Frank Miller,332.0,124,Crime
Charlie and the Chocolate Factory,Tim Burton,1245.0,115,Adventure
V for Vendetta,James McTeigue,448.2,132,Action
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Andrew Adamson,1494.0,143,Adventure
Wedding Crashers,David Dobkin,332.0,119,Comedy
War of the Worlds,Steven Spielberg,1095.6,116,Adventure
Kingdom of Heaven,Ridley Scott,1079.0,144,Action
Constantine,Francis Lawrence,830.0,121,Action
Star Wars: Episode III - Revenge of the Sith,George Lucas,937.9,140,Action
King Kong,Peter Jackson,1718.1,187,Action
The Hitchhiker's Guide to the Galaxy,Garth Jennings,415.0,109,Adventure
Fantastic Four,Tim Story,830.0,106,Action
Serenity,Joss Whedon,323.7,119,Action
Mr. & Mrs. Smith,Doug Liman,913.0,120,Action
The Island,Michael Bay,1045.8,136,Action
Waiting...,Rob McKittrick,24.9,94,Comedy
Match Point,Woody Allen,124.5,124,Drama
Hostel,Eli Roth,39.84,94,Horror
Sky High,Mike Mitchell,290.5,100,Adventure
Assault on Precinct 13,Jean-FranÃ§ois Richet,249.0,109,Action
Madagascar,Eric Darnell,622.5,86,Animation
Hard Candy,David Slade,7.88,104,Drama
The Sisterhood of the Traveling Pants,Ken Kwapis,207.5,119,Comedy
The Longest Yard,Peter Segal,680.6,113,Comedy
Red Eye,Wes Craven,215.8,85,Thriller
House of Wax,Jaume Collet-Serra,332.0,113,Horror
Four Brothers,John Singleton,373.5,109,Action
The Dukes of Hazzard,Jay Chandrasekhar,415.0,104,Comedy
The Interpreter,Sydney Pollack,664.0,128,Crime
Walk the Line,James Mangold,232.4,136,Biography
Lords of Dogtown,Catherine Hardwicke,207.5,107,Biography
Munich,Steven Spielberg,581.0,164,Action
Kiss Kiss Bang Bang,Shane Black,124.5,103,Comedy
The Constant Gardener,Fernando Meirelles,207.5,129,Drama
The Pacifier,Adam Shankman,464.8,95,Action
A History of Violence,David Cronenberg,265.6,96,Drama
The Devil's Rejects,Rob Zombie,58.1,107,Horror
Hitch,Andy Tennant,581.0,118,Comedy
Mirrormask,Dave McKean,33.2,101,Adventure
Rent,Chris Columbus,332.0,135,Drama
Robots,Chris Wedge,622.5,91,Animation
Jarhead,Sam Mendes,597.6,125,Action
Into the Blue,John Stockwell,415.0,110,Action
Saw II,Darren Lynn Bousman,33.2,93,Horror
Flightplan,Robert Schwentke,456.5,98,Drama
Coach Carter,Thomas Carter,249.0,136,Biography
Dark Water,Walter Salles,249.0,105,Drama
Lord of War,Andrew Niccol,415.0,122,Action
Zathura: A Space Adventure,Jon Favreau,539.5,101,Action
The Quiet,Jamie Babbit,7.47,96,Crime
The Amityville Horror,Andrew Douglas,157.7,90,Horror
Be Cool,F. Gary Gray,439.9,118,Comedy
"Yours, Mine & Ours",Raja Gosnell,373.5,88,Comedy
Cinderella Man,Ron Howard,730.4,144,Biography
Nanny McPhee,Kirk Jones,207.5,97,Comedy
The Brothers Grimm,Terry Gilliam,730.4,118,Action
Sahara,Breck Eisner,1079.0,124,Action
Corpse Bride,Tim Burton,332.0,77,Animation
Transporter 2,Louis Leterrier,265.6,87,Action
Two for the Money,D.J. Caruso,290.5,122,Crime
The New World,Terrence Malick,249.0,135,Biography
Brick,Rian Johnson,3.94,110,Action
Wolf Creek,Greg McLean,8.3,99,Horror
The Exorcism of Emily Rose,Scott Derrickson,157.7,119,Drama
Elektra,Rob Bowman,356.9,97,Action
Doom,Andrzej Bartkowiak,498.0,105,Action
The Legend of Zorro,Martin Campbell,622.5,129,Action
Cheaper by the Dozen 2,Adam Shankman,498.0,94,Adventure
Ãon Flux,Karyn Kusama,514.6,93,Action
Son of the Mask,Lawrence Guterman,697.2,94,Comedy
Rumor Has It...,Rob Reiner,581.0,97,Comedy
The Producers,Susan Stroman,373.5,134,Comedy
Kicking & Screaming,Jesse Dylan,373.5,95,Comedy
The Cave,Bruce Hunt,249.0,97,Action
Broken Flowers,Jim Jarmusch,83.0,106,Comedy
Fun with Dick and Jane,Dean Parisot,830.0,90,Comedy
Imagine Me & You,Ol Parker,65.57,90,Comedy
The Family Stone,Thomas Bezucha,149.4,103,Comedy
Just Like Heaven,Mark Waters,481.4,95,Comedy
Capote,Bennett Miller,58.1,114,Biography
The Skeleton Key,Iain Softley,356.9,104,Drama
The Squid and the Whale,Noah Baumbach,12.45,81,Comedy
Land of the Dead,George A. Romero,124.5,93,Horror
Man of the House,Stephen Herek,332.0,100,Comedy
Elizabethtown,Cameron Crowe,373.5,123,Comedy
Chicken Little,Mark Dindal,1245.0,81,Animation
Monster-in-Law,Robert Luketic,356.9,101,Comedy
Domino,Tony Scott,415.0,127,Action
The Ring Two,Hideo Nakata,415.0,110,Horror
Deuce Bigalow: European Gigolo,Mike Bigelow,182.6,83,Comedy
Harsh Times,David Ayer,16.6,116,Action
Diary of a Mad Black Woman,Darren Grant,45.65,116,Comedy
Herbie Fully Loaded,Angela Robinson,415.0,101,Adventure
Wallace & Gromit: The Curse of the Were-Rabbit,Steve Box,249.0,85,Animation
The Jacket,John Maybury,240.7,103,Drama
The Wedding Date,Clare Kilner,124.5,90,Comedy
Thank You for Smoking,Jason Reitman,53.95,92,Comedy
Hide and Seek,John Polson,249.0,101,Drama
Cursed,Wes Craven,315.4,97,Comedy
Miss Congeniality 2: Armed & Fabulous,John Pasquin,373.5,115,Action
Bad News Bears,Richard Linklater,290.5,113,Comedy
Fever Pitch,Bobby Farrelly,249.0,104,Comedy
xXx: State of the Union,Lee Tamahori,937.9,101,Action
Syriana,Stephen Gaghan,415.0,128,Drama
North Country,Niki Caro,290.5,126,Drama
Derailed,Mikael HÃ¥fstrÃ¶m,182.6,108,Crime
The Perfect Man,Mark Rosman,83.0,100,Comedy
Unleashed,Louis Leterrier,373.5,103,Action
Hostage,Florent-Emilio Siri,431.6,113,Action
The Greatest Game Ever Played,Bill Paxton,215.8,120,Biography
Get Rich or Die Tryin',Jim Sheridan,332.0,117,Biography
Bewitched,Nora Ephron,705.5,102,Comedy
Hoodwinked,Cory Edwards,249.0,80,Animation
BloodRayne,Uwe Boll,207.5,95,Action
The Three Burials of Melquiades Estrada,Tommy Lee Jones,124.5,121,Adventure
Feast,John Gulager,26.56,95,Action
Goal! The Dream Begins,Danny Cannon,83.0,118,Adventure
Man-Thing,Brett Leonard,249.0,97,Action
"Good Night, and Good Luck.",George Clooney,58.1,93,Biography
A Lot Like Love,Nigel Cole,249.0,107,Comedy
Cry Wolf,Jeff Wadlow,8.3,90,Drama
The Proposition,John Hillcoat,166.0,104,Crime
The World's Fastest Indian,Roger Donaldson,207.5,127,Biography
Stealth,Rob Cohen,1120.5,121,Action
Hustle & Flow,Craig Brewer,23.24,116,Crime
The Matador,Richard Shepard,103.75,96,Comedy
The Fog,Rupert Wainwright,149.4,100,Horror
Because of Winn-Dixie,Wayne Wang,116.2,106,Comedy
Where the Truth Lies,Atom Egoyan,207.5,107,Crime
Must Love Dogs,Gary David Goldberg,249.0,98,Comedy
Guess Who,Kevin Rodney Sullivan,290.5,105,Comedy
The Ballad of Jack and Rose,Rebecca Miller,12.45,112,Drama
Stay,Marc Forster,415.0,99,Drama
The Great Raid,John Dahl,664.0,132,Action
Tideland,Terry Gilliam,160.19,120,Drama
Alone in the Dark,Uwe Boll,166.0,96,Action
An American Haunting,Courtney Solomon,116.2,83,Drama
Supercross,Steve Boyum,132.8,80,Action
Oliver Twist,Roman Polanski,498.0,130,Crime
White Noise,Geoffrey Sax,83.0,101,Drama
Are We There Yet?,Brian Levant,265.6,95,Adventure
Proof,John Madden,166.0,100,Drama
Racing Stripes,Frederik Du Chau,249.0,102,Adventure
A Sound of Thunder,Peter Hyams,664.0,110,Action
The Weather Man,Gore Verbinski,182.6,102,Comedy
Keeping Mum,Niall Johnson,1.4,99,Comedy
