Director,Duration (mins),Budget (INR Crores),Genre
Vishal Bhardwaj,102,428.56,Biography
Karan Johar,136,128.09,Musical
Mani Ratnam,121,424.21,Fantasy
Mani Ratnam,153,269.08,Fantasy
Shoojit Sircar,127,436.45,Romance
S.S. Rajamouli,122,256.4,Sci-Fi
S.S. Rajamouli,173,44.85,Sci-Fi
Karan Johar,161,39.83,Horror
Lokesh Kanagaraj,119,440.3,Historical
Prashanth Neel,146,74.82,Musical
Shoojit Sircar,168,410.14,Sci-Fi
Rajkumar Hirani,156,400.0,Drama
Imtiaz Ali,133,293.28,Action
Ayan Mukerji,127,460.25,Animation
Lokesh Kanagaraj,111,247.0,Romance
S.S. Rajamouli,135,135.57,Thriller
Rajkumar Hirani,167,289.83,Crime
Prashanth Neel,177,422.34,Crime
S.S. Rajamouli,168,114.26,Sci-Fi
Imtiaz Ali,150,178.05,Biography
Karan Johar,109,178.33,Horror
Rohit Shetty,163,496.07,Biography
Rohit Shetty,173,346.61,Romantic Comedy
Sriram Raghavan,154,271.49,Romantic Comedy
Rohit Shetty,136,331.21,Fantasy
Prashanth Neel,108,462.66,Romance
Anurag Basu,111,168.01,Thriller
Prashanth Neel,167,184.42,Drama
Rohit Shetty,107,111.42,Crime
Lokesh Kanagaraj,150,229.58,Animation
Sandeep Reddy Vanga,154,61.2,Horror
Atlee,100,362.33,Animation
S.S. Rajamouli,138,344.41,Crime
Prashanth Neel,159,478.87,Musical
Lokesh Kanagaraj,161,387.22,Action
Rohit Shetty,91,23.71,Comedy
Atlee,93,442.97,Comedy
S.S. Rajamouli,175,114.12,Romance
Ayan Mukerji,148,273.69,Musical
Rajkumar Hirani,106,190.49,Sci-Fi
Ayan Mukerji,99,210.17,Romance
Kabir Khan,142,474.05,Horror
Sandeep Reddy Vanga,153,408.52,Crime
Zoya Akhtar,131,398.56,Romance
Anurag Kashyap,127,125.23,Sci-Fi
Zoya Akhtar,92,289.0,Comedy
Imtiaz Ali,106,393.08,Action
Anurag Kashyap,116,308.36,Action
Lokesh Kanagaraj,177,67.25,Adventure
Anurag Kashyap,105,376.57,Drama
S.S. Rajamouli,140,412.38,Romance
Anurag Kashyap,178,360.19,Fantasy
S.S. Rajamouli,137,240.73,Drama
Anurag Basu,120,271.52,Horror
Prashanth Neel,150,330.35,Romance
Lokesh Kanagaraj,122,138.03,Fantasy
Prashanth Neel,135,392.65,Crime
S.S. Rajamouli,115,53.44,Biography
Sanjay Leela Bhansali,115,84.11,Sci-Fi
Sanjay Leela Bhansali,169,273.34,Action
Zoya Akhtar,104,288.75,Crime
Zoya Akhtar,92,439.39,Thriller
Sriram Raghavan,151,497.77,Biography
Rohit Shetty,101,370.44,Animation
Rohit Shetty,174,413.53,Drama
Karan Johar,122,309.65,Romantic Comedy
Anurag Kashyap,149,199.27,Musical
Lokesh Kanagaraj,119,429.46,Animation
Rohit Shetty,95,289.38,Animation
Vishal Bhardwaj,93,460.57,Fantasy
Kabir Khan,113,442.07,Sci-Fi
Sriram Raghavan,117,135.69,Thriller
Shoojit Sircar,149,280.73,Comedy
Rajkumar Hirani,155,189.27,Biography
Shoojit Sircar,156,85.48,Drama
Anurag Kashyap,117,170.91,Action
Vishal Bhardwaj,131,47.06,Romance
Sandeep Reddy Vanga,145,199.0,Historical
Zoya Akhtar,109,254.94,Romantic Comedy
Rohit Shetty,150,175.01,Horror
Imtiaz Ali,94,348.75,Thriller
Imtiaz Ali,180,338.33,Crime
S.S. Rajamouli,140,390.73,Biography
Karan Johar,163,341.59,Sci-Fi
Sriram Raghavan,176,384.09,Musical
Rajkumar Hirani,154,359.51,Drama
Rajkumar Hirani,134,480.46,Drama
Kabir Khan,154,75.55,Romantic Comedy
Rajkumar Hirani,106,128.31,Thriller
Rajkumar Hirani,112,75.41,Musical
Rohit Shetty,180,364.74,Biography
Mani Ratnam,147,86.09,Thriller
Zoya Akhtar,150,390.36,Sci-Fi
Atlee,137,41.39,Romantic Comedy
Anurag Basu,156,244.63,Animation
Sriram Raghavan,135,225.32,Biography
Shoojit Sircar,133,328.6,Animation
S.S. Rajamouli,90,152.09,Romance
Imtiaz Ali,91,70.8,Thriller
Zoya Akhtar,94,199.43,Biography
Vishal Bhardwaj,96,444.31,Thriller
Vishal Bhardwaj,120,313.3,Horror
Rohit Shetty,102,324.82,Drama
Zoya Akhtar,158,315.6,Animation
S.S. Rajamouli,96,478.97,Drama
S.S. Rajamouli,178,352.25,Romance
Imtiaz Ali,163,256.14,Fantasy
Rohit Shetty,163,425.24,Animation
Shoojit Sircar,133,414.25,Thriller
Anurag Basu,94,438.45,Historical
Shoojit Sircar,145,96.67,Sci-Fi
Anurag Kashyap,122,451.48,Crime
Rohit Shetty,160,127.66,Comedy
Shoojit Sircar,116,246.74,Animation
Anurag Kashyap,170,267.45,Biography
Anurag Kashyap,113,48.04,Horror
Zoya Akhtar,153,134.51,Romance
Anurag Kashyap,180,298.09,Historical
Anurag Kashyap,106,420.22,Fantasy
Sanjay Leela Bhansali,140,170.18,Biography
Mani Ratnam,97,451.29,Crime
Shoojit Sircar,145,61.42,Action
Lokesh Kanagaraj,96,152.92,Romantic Comedy
Kabir Khan,166,430.19,Thriller
Lokesh Kanagaraj,135,168.5,Thriller
Sanjay Leela Bhansali,108,371.92,Thriller
Karan Johar,154,342.89,Thriller
Vishal Bhardwaj,155,141.14,Adventure
Shoojit Sircar,169,388.56,Fantasy
Rohit Shetty,102,219.15,Adventure
Atlee,92,111.85,Biography
Prashanth Neel,107,51.83,Animation
Atlee,135,240.66,Fantasy
Sandeep Reddy Vanga,119,411.36,Horror
Ayan Mukerji,101,58.83,Musical
Lokesh Kanagaraj,161,179.87,Musical
Rohit Shetty,131,353.29,Drama
Anurag Basu,137,482.9,Crime
Anurag Basu,159,135.29,Historical
Prashanth Neel,107,79.88,Historical
Zoya Akhtar,123,94.31,Adventure
Ayan Mukerji,144,112.57,Fantasy
Ayan Mukerji,139,56.38,Crime
S.S. Rajamouli,144,76.19,Biography
Vishal Bhardwaj,139,482.93,Romantic Comedy
Zoya Akhtar,111,265.79,Animation
Anurag Kashyap,105,107.95,Drama
Anurag Kashyap,161,281.9,Horror
Atlee,147,490.96,Historical
Karan Johar,177,280.83,Drama
Mani Ratnam,158,190.23,Animation
Sanjay Leela Bhansali,138,138.55,Biography
Ayan Mukerji,120,315.52,Horror
Karan Johar,128,48.3,Comedy
Zoya Akhtar,92,139.52,Biography
Mani Ratnam,155,344.77,Romance
Sriram Raghavan,110,225.14,Action
Sriram Raghavan,138,372.09,Musical
Lokesh Kanagaraj,148,483.42,Romance
Rajkumar Hirani,121,56.38,Musical
Karan Johar,173,351.65,Action
Rohit Shetty,169,353.71,Horror
Vishal Bhardwaj,151,105.26,Adventure
Karan Johar,150,316.05,Musical
Ayan Mukerji,135,304.58,Animation
Ayan Mukerji,138,318.17,Fantasy
Kabir Khan,156,301.8,Romantic Comedy
Vishal Bhardwaj,104,36.49,Comedy
Vishal Bhardwaj,152,427.25,Romantic Comedy
Kabir Khan,178,238.48,Comedy
Anurag Kashyap,112,323.32,Biography
Atlee,100,273.55,Horror
Karan Johar,117,420.03,Animation
Shoojit Sircar,94,444.9,Crime
S.S. Rajamouli,96,309.86,Crime
Atlee,106,369.99,Musical
Vishal Bhardwaj,135,220.18,Animation
Atlee,154,423.6,Sci-Fi
Sriram Raghavan,176,303.26,Thriller
Sriram Raghavan,137,281.77,Horror
Karan Johar,180,185.3,Animation
Lokesh Kanagaraj,114,35.65,Thriller
S.S. Rajamouli,136,311.67,Comedy
Sriram Raghavan,95,405.28,Adventure
Mani Ratnam,91,383.87,Sci-Fi
Anurag Kashyap,176,276.75,Fantasy
S.S. Rajamouli,126,163.29,Romance
Rohit Shetty,137,368.46,Romantic Comedy
Lokesh Kanagaraj,176,452.55,Animation
Sriram Raghavan,171,110.31,Romance
Vishal Bhardwaj,148,326.29,Historical
Imtiaz Ali,179,365.11,Historical
S.S. Rajamouli,137,379.63,Biography
Sriram Raghavan,159,218.99,Historical
Imtiaz Ali,152,98.74,Romance
Shoojit Sircar,157,284.17,Adventure
Karan Johar,98,318.45,Fantasy
S.S. Rajamouli,106,107.63,Animation
S.S. Rajamouli,104,23.03,Sci-Fi
Prashanth Neel,122,418.41,Crime
Rohit Shetty,118,444.93,Crime
Lokesh Kanagaraj,139,53.2,Biography
Anurag Kashyap,148,84.39,Sci-Fi
Karan Johar,166,133.37,Fantasy
Shoojit Sircar,175,397.56,Sci-Fi
Rohit Shetty,175,76.32,Animation
Rohit Shetty,161,441.96,Fantasy
Mani Ratnam,139,191.51,Romance
Rohit Shetty,93,65.34,Animation
Ayan Mukerji,108,437.64,Romantic Comedy
Atlee,132,358.46,Adventure
Mani Ratnam,150,135.19,Romantic Comedy
Sandeep Reddy Vanga,168,374.7,Horror
Karan Johar,157,43.26,Romantic Comedy
S.S. Rajamouli,161,479.26,Historical
Ayan Mukerji,135,162.86,Fantasy
Ayan Mukerji,138,41.52,Romantic Comedy
Rohit Shetty,100,442.13,Sci-Fi
Zoya Akhtar,148,298.51,Historical
Mani Ratnam,141,147.18,Biography
S.S. Rajamouli,103,287.57,Crime
Prashanth Neel,131,317.71,Sci-Fi
Atlee,136,147.11,Thriller
Sanjay Leela Bhansali,148,141.65,Adventure
Anurag Basu,121,59.51,Animation
S.S. Rajamouli,103,308.13,Crime
Mani Ratnam,141,150.89,Comedy
Imtiaz Ali,112,133.91,Thriller
S.S. Rajamouli,102,159.36,Romance
Zoya Akhtar,105,217.98,Romance
Kabir Khan,124,233.17,Action
Anurag Kashyap,137,315.27,Drama
Atlee,121,131.89,Historical
Zoya Akhtar,179,336.2,Thriller
S.S. Rajamouli,179,381.83,Romance
Anurag Kashyap,133,50.71,Horror
Shoojit Sircar,129,270.39,Sci-Fi
Prashanth Neel,176,335.23,Thriller
S.S. Rajamouli,129,346.19,Drama
Imtiaz Ali,169,288.24,Romance
Anurag Kashyap,175,132.24,Sci-Fi
Sanjay Leela Bhansali,157,326.08,Crime
Lokesh Kanagaraj,119,193.28,Sci-Fi
Prashanth Neel,105,475.66,Animation
Sanjay Leela Bhansali,139,59.41,Animation
Prashanth Neel,126,286.03,Fantasy
Ayan Mukerji,92,305.89,Musical
Sriram Raghavan,169,493.31,Romance
Atlee,167,498.73,Historical
Sriram Raghavan,137,286.11,Animation
Karan Johar,136,99.59,Romance
Sanjay Leela Bhansali,158,439.44,Historical
Vishal Bhardwaj,162,190.82,Comedy
Prashanth Neel,163,407.37,Action
Sandeep Reddy Vanga,163,203.77,Action
S.S. Rajamouli,178,482.24,Crime
Mani Ratnam,95,98.92,Adventure
Shoojit Sircar,130,469.25,Animation
S.S. Rajamouli,173,150.02,Adventure
S.S. Rajamouli,178,176.77,Biography
Zoya Akhtar,94,258.54,Comedy
S.S. Rajamouli,138,21.55,Action
Lokesh Kanagaraj,167,169.45,Musical
Sandeep Reddy Vanga,169,461.27,Horror
Sandeep Reddy Vanga,107,86.19,Thriller
Vishal Bhardwaj,165,47.9,Sci-Fi
Imtiaz Ali,119,207.59,Romance
Atlee,166,400.04,Adventure
Prashanth Neel,107,398.83,Drama
Anurag Basu,162,453.41,Musical
Atlee,109,467.77,Adventure
S.S. Rajamouli,118,368.83,Crime
S.S. Rajamouli,140,78.87,Romantic Comedy
Sanjay Leela Bhansali,125,148.76,Musical
Prashanth Neel,122,480.94,Adventure
Mani Ratnam,94,222.28,Horror
Anurag Kashyap,174,400.61,Sci-Fi
Rajkumar Hirani,167,438.76,Horror
Anurag Basu,124,240.92,Crime
Ayan Mukerji,180,227.73,Drama
Rohit Shetty,95,395.76,Comedy
Lokesh Kanagaraj,94,208.88,Romance
Rohit Shetty,101,39.37,Historical
Kabir Khan,103,238.71,Thriller
Kabir Khan,165,113.23,Adventure
Anurag Basu,168,439.7,Romantic Comedy
Sanjay Leela Bhansali,129,498.89,Action
Zoya Akhtar,95,179.38,Biography
Karan Johar,177,370.72,Crime
Mani Ratnam,136,216.96,Romance
Prashanth Neel,118,71.81,Comedy
Karan Johar,154,188.38,Animation
Vishal Bhardwaj,163,82.28,Horror
Atlee,160,129.15,Historical
Vishal Bhardwaj,141,317.94,Fantasy
Zoya Akhtar,147,452.32,Comedy
Sriram Raghavan,114,134.07,Action
Imtiaz Ali,131,96.83,Thriller
Anurag Basu,174,198.88,Sci-Fi
Ayan Mukerji,92,335.72,Sci-Fi
Mani Ratnam,144,472.85,Horror
Atlee,93,450.51,Adventure
Sriram Raghavan,171,175.35,Drama
S.S. Rajamouli,148,488.03,Thriller
Vishal Bhardwaj,160,236.52,Action
S.S. Rajamouli,142,443.18,Biography
S.S. Rajamouli,156,29.56,Animation
Lokesh Kanagaraj,136,424.48,Action
Rajkumar Hirani,111,358.49,Biography
Lokesh Kanagaraj,110,223.38,Biography
S.S. Rajamouli,138,152.78,Fantasy
S.S. Rajamouli,161,241.56,Crime
Imtiaz Ali,173,387.45,Action
Sandeep Reddy Vanga,170,288.54,Drama
Shoojit Sircar,162,278.33,Comedy
Imtiaz Ali,98,287.5,Drama
Kabir Khan,96,208.43,Romantic Comedy
S.S. Rajamouli,178,270.37,Animation
Mani Ratnam,180,237.35,Romantic Comedy
Mani Ratnam,122,305.07,Animation
Anurag Kashyap,117,403.41,Drama
Rajkumar Hirani,97,136.77,Romance
Lokesh Kanagaraj,137,172.1,Sci-Fi
Vishal Bhardwaj,117,331.06,Fantasy
Imtiaz Ali,116,29.36,Historical
Sriram Raghavan,163,437.6,Comedy
Imtiaz Ali,103,387.35,Horror
Anurag Kashyap,115,80.76,Historical
Ayan Mukerji,120,107.19,Horror
Sanjay Leela Bhansali,150,375.04,Fantasy
Imtiaz Ali,156,249.04,Biography
Imtiaz Ali,111,51.91,Adventure
Lokesh Kanagaraj,177,430.24,Biography
Vishal Bhardwaj,119,381.81,Adventure
Lokesh Kanagaraj,163,281.54,Fantasy
Rohit Shetty,97,34.17,Adventure
Rajkumar Hirani,139,272.48,Historical
Rajkumar Hirani,103,29.82,Action
Ayan Mukerji,146,346.2,Horror
Vishal Bhardwaj,90,302.55,Musical
Ayan Mukerji,158,467.41,Sci-Fi
Sandeep Reddy Vanga,110,366.19,Biography
S.S. Rajamouli,151,302.38,Romantic Comedy
Imtiaz Ali,96,385.24,Animation
Ayan Mukerji,115,223.07,Sci-Fi
Rajkumar Hirani,95,323.68,Horror
Sandeep Reddy Vanga,101,45.43,Sci-Fi
Anurag Kashyap,96,160.58,Historical
Karan Johar,151,497.69,Crime
Atlee,178,493.04,Romance
Sanjay Leela Bhansali,180,377.51,Action
Karan Johar,127,195.53,Action
Zoya Akhtar,169,172.8,Drama
Sandeep Reddy Vanga,175,243.03,Adventure
Prashanth Neel,101,454.9,Thriller
Imtiaz Ali,176,59.43,Crime
Karan Johar,162,480.48,Horror
Rohit Shetty,171,125.41,Crime
S.S. Rajamouli,170,193.15,Horror
S.S. Rajamouli,137,212.2,Sci-Fi
Atlee,149,384.29,Horror
S.S. Rajamouli,142,109.21,Romantic Comedy
Mani Ratnam,141,248.44,Biography
Kabir Khan,131,489.11,Romantic Comedy
Rohit Shetty,136,278.04,Horror
Ayan Mukerji,165,396.42,Adventure
Atlee,110,250.02,Crime
Prashanth Neel,147,218.51,Action
Kabir Khan,124,150.06,Crime
Rajkumar Hirani,179,372.5,Horror
Rajkumar Hirani,119,362.7,Animation
Prashanth Neel,115,419.42,Animation
Mani Ratnam,121,217.67,Romantic Comedy
S.S. Rajamouli,137,105.75,Adventure
S.S. Rajamouli,130,416.43,Action
Anurag Basu,173,378.27,Comedy
Sriram Raghavan,138,442.05,Adventure
Anurag Kashyap,133,34.02,Sci-Fi
Sandeep Reddy Vanga,97,244.54,Horror
Shoojit Sircar,102,165.63,Musical
Mani Ratnam,172,308.69,Romantic Comedy
Imtiaz Ali,127,387.08,Crime
Imtiaz Ali,102,129.01,Biography
Lokesh Kanagaraj,129,397.27,Historical
Sanjay Leela Bhansali,154,325.96,Horror
Sandeep Reddy Vanga,123,335.7,Biography
Anurag Basu,178,44.74,Musical
Prashanth Neel,177,495.72,Animation
Karan Johar,96,203.13,Adventure
Rohit Shetty,118,330.55,Fantasy
Lokesh Kanagaraj,109,220.46,Thriller
Lokesh Kanagaraj,168,446.49,Romance
S.S. Rajamouli,90,54.87,Romance
Vishal Bhardwaj,98,142.26,Comedy
Rajkumar Hirani,130,115.13,Historical
S.S. Rajamouli,113,120.87,Romance
Ayan Mukerji,125,477.04,Action
Prashanth Neel,126,127.7,Horror
Prashanth Neel,142,279.57,Biography
Anurag Basu,176,461.55,Fantasy
Lokesh Kanagaraj,152,486.67,Fantasy
Vishal Bhardwaj,96,212.26,Drama
Anurag Basu,148,454.46,Adventure
Karan Johar,176,44.25,Musical
Kabir Khan,118,250.31,Sci-Fi
S.S. Rajamouli,144,108.66,Drama
Kabir Khan,126,425.54,Thriller
Zoya Akhtar,122,300.4,Animation
Atlee,101,66.17,Drama
Rohit Shetty,118,133.61,Comedy
Anurag Kashyap,133,193.08,Horror
Sriram Raghavan,128,456.7,Action
Rohit Shetty,132,414.87,Animation
S.S. Rajamouli,132,167.19,Thriller
Karan Johar,157,165.12,Fantasy
Mani Ratnam,135,44.42,Fantasy
Sanjay Leela Bhansali,170,281.54,Historical
Rohit Shetty,142,381.65,Adventure
Imtiaz Ali,135,39.57,Drama
Lokesh Kanagaraj,151,408.22,Drama
Kabir Khan,147,430.69,Romance
Sanjay Leela Bhansali,164,247.86,Romantic Comedy
Lokesh Kanagaraj,174,476.75,Crime
Sriram Raghavan,180,238.43,Historical
Sanjay Leela Bhansali,139,202.74,Action
Sanjay Leela Bhansali,171,260.92,Adventure
Anurag Kashyap,129,106.01,Thriller
S.S. Rajamouli,161,299.61,Animation
Zoya Akhtar,164,309.59,Fantasy
Mani Ratnam,127,322.99,Musical
Rajkumar Hirani,154,222.65,Crime
Anurag Basu,136,333.64,Biography
Rohit Shetty,99,478.05,Fantasy
Atlee,117,489.33,Action
Ayan Mukerji,164,328.42,Adventure
Kabir Khan,98,85.37,Historical
Prashanth Neel,99,384.59,Animation
S.S. Rajamouli,172,319.95,Comedy
Sanjay Leela Bhansali,94,78.52,Animation
Atlee,177,318.1,Musical
Rajkumar Hirani,155,329.56,Crime
Shoojit Sircar,104,242.34,Romance
Karan Johar,135,263.97,Romance
Atlee,139,326.4,Romantic Comedy
Zoya Akhtar,106,394.78,Crime
Mani Ratnam,154,312.2,Drama
Rohit Shetty,140,175.59,Biography
Sandeep Reddy Vanga,94,169.14,Fantasy
S.S. Rajamouli,151,424.47,Musical
Anurag Kashyap,157,277.51,Biography
Vishal Bhardwaj,105,291.28,Thriller
Anurag Basu,138,480.34,Sci-Fi
Mani Ratnam,180,416.45,Adventure
Sanjay Leela Bhansali,117,28.85,Action
Anurag Kashyap,134,130.39,Fantasy
S.S. Rajamouli,101,475.48,Horror
Vishal Bhardwaj,156,175.46,Action
Prashanth Neel,172,108.89,Musical
Kabir Khan,90,440.09,Historical
Rajkumar Hirani,105,393.74,Crime
Imtiaz Ali,178,129.98,Horror
Mani Ratnam,90,444.13,Romance
Karan Johar,142,175.86,Fantasy
Shoojit Sircar,123,21.04,Historical
Anurag Basu,159,49.51,Horror
Rohit Shetty,157,137.11,Sci-Fi
Anurag Basu,114,150.05,Action
Zoya Akhtar,108,469.54,Drama
Anurag Basu,147,42.66,Action
S.S. Rajamouli,131,480.38,Adventure
Imtiaz Ali,119,199.15,Drama
Rajkumar Hirani,157,456.42,Romantic Comedy
Atlee,115,427.81,Musical
Rajkumar Hirani,108,284.72,Animation
Prashanth Neel,90,354.74,Romantic Comedy
S.S. Rajamouli,148,238.39,Adventure
Shoojit Sircar,137,205.39,Romance
Vishal Bhardwaj,103,495.0,Musical
Anurag Basu,120,186.21,Action
Anurag Kashyap,139,421.58,Thriller
Vishal Bhardwaj,146,32.17,Sci-Fi
Ayan Mukerji,141,348.55,Adventure
Karan Johar,178,44.55,Romance
Lokesh Kanagaraj,172,26.62,Drama
Rajkumar Hirani,150,155.82,Crime
Kabir Khan,98,468.26,Horror
Sandeep Reddy Vanga,110,382.08,Romance
Rohit Shetty,91,441.79,Adventure
Zoya Akhtar,161,472.12,Romance
Mani Ratnam,93,53.97,Horror
Zoya Akhtar,122,335.98,Romance
Sandeep Reddy Vanga,94,227.92,Romantic Comedy
Kabir Khan,90,358.66,Sci-Fi
Lokesh Kanagaraj,130,385.32,Thriller
Atlee,158,172.86,Comedy
Rajkumar Hirani,99,178.01,Fantasy
Shoojit Sircar,134,422.27,Biography
Karan Johar,172,191.75,Sci-Fi
Shoojit Sircar,129,429.83,Sci-Fi
Prashanth Neel,133,186.11,Sci-Fi
Atlee,145,133.1,Romantic Comedy
Ayan Mukerji,93,152.57,Adventure
S.S. Rajamouli,138,165.9,Comedy
Anurag Kashyap,131,225.99,Thriller
Anurag Kashyap,170,248.97,Musical
Mani Ratnam,160,298.24,Animation
Shoojit Sircar,167,256.09,Romance
Zoya Akhtar,145,62.88,Animation
Anurag Basu,161,33.36,Drama
Vishal Bhardwaj,165,490.52,Romance
Sandeep Reddy Vanga,172,39.89,Historical
Prashanth Neel,150,193.97,Historical
Kabir Khan,173,20.63,Crime
S.S. Rajamouli,123,53.34,Historical
Mani Ratnam,178,374.94,Thriller
Shoojit Sircar,156,134.41,Historical
Rajkumar Hirani,140,152.63,Romance
Imtiaz Ali,136,458.07,Crime
Anurag Basu,94,69.85,Animation
Lokesh Kanagaraj,163,237.83,Fantasy
Atlee,113,412.32,Drama
Prashanth Neel,138,220.26,Biography
Zoya Akhtar,154,415.27,Crime
Mani Ratnam,92,401.13,Action
Sriram Raghavan,168,282.3,Adventure
Anurag Basu,176,310.82,Romance
Ayan Mukerji,147,162.61,Biography
Sanjay Leela Bhansali,101,147.71,Musical
S.S. Rajamouli,90,337.41,Action
Rajkumar Hirani,146,58.61,Musical
Sanjay Leela Bhansali,167,66.0,Animation
Lokesh Kanagaraj,104,272.54,Historical
Atlee,173,59.1,Romance
Prashanth Neel,141,417.93,Action
Rajkumar Hirani,141,228.0,Romantic Comedy
Sanjay Leela Bhansali,140,245.75,Sci-Fi
Shoojit Sircar,117,379.95,Romance
Ayan Mukerji,110,228.04,Fantasy
Sandeep Reddy Vanga,136,461.47,Drama
Shoojit Sircar,132,262.43,Adventure
Anurag Basu,150,228.2,Romance
Karan Johar,99,158.65,Romance
Shoojit Sircar,129,243.99,Fantasy
Vishal Bhardwaj,116,383.97,Adventure
Lokesh Kanagaraj,142,214.5,Romance
Prashanth Neel,177,285.79,Fantasy
Rohit Shetty,170,399.47,Romantic Comedy
Karan Johar,104,74.75,Comedy
Sandeep Reddy Vanga,95,165.54,Comedy
Karan Johar,131,241.92,Sci-Fi
Prashanth Neel,102,365.96,Musical
Rohit Shetty,112,288.85,Fantasy
Imtiaz Ali,150,361.21,Musical
Prashanth Neel,177,51.09,Fantasy
Rajkumar Hirani,149,27.26,Biography
Sanjay Leela Bhansali,109,316.78,Action
S.S. Rajamouli,93,109.74,Musical
Anurag Kashyap,130,178.84,Animation
Rohit Shetty,112,253.15,Drama
Atlee,129,39.1,Horror
Sanjay Leela Bhansali,156,486.13,Romantic Comedy
Atlee,145,435.71,Romantic Comedy
Prashanth Neel,119,229.68,Action
Vishal Bhardwaj,142,485.72,Crime
Shoojit Sircar,131,300.36,Fantasy
Anurag Basu,115,101.53,Adventure
S.S. Rajamouli,175,338.39,Animation
Kabir Khan,151,34.9,Crime
Sriram Raghavan,100,174.48,Animation
Sanjay Leela Bhansali,122,481.06,Romantic Comedy
Anurag Kashyap,123,408.03,Romantic Comedy
Kabir Khan,157,215.0,Drama
Imtiaz Ali,140,159.41,Musical
Karan Johar,143,241.29,Action
Mani Ratnam,100,247.56,Thriller
Kabir Khan,145,396.78,Comedy
Lokesh Kanagaraj,153,95.88,Musical
Prashanth Neel,155,98.76,Thriller
Vishal Bhardwaj,144,286.21,Adventure
Rajkumar Hirani,173,264.39,Musical
Shoojit Sircar,149,245.21,Animation
Rajkumar Hirani,126,63.37,Historical
Zoya Akhtar,116,373.75,Thriller
Anurag Basu,118,489.5,Romantic Comedy
S.S. Rajamouli,172,465.62,Historical
Atlee,101,450.73,Animation
Karan Johar,141,415.26,Horror
Rajkumar Hirani,143,331.59,Adventure
Ayan Mukerji,157,121.93,Musical
Sandeep Reddy Vanga,131,182.51,Musical
Sandeep Reddy Vanga,104,486.62,Biography
Zoya Akhtar,170,269.74,Romantic Comedy
Anurag Basu,118,96.66,Sci-Fi
Shoojit Sircar,124,139.75,Historical
Anurag Kashyap,114,298.3,Animation
Sanjay Leela Bhansali,140,113.19,Adventure
Shoojit Sircar,123,159.92,Adventure
Vishal Bhardwaj,164,408.41,Comedy
Lokesh Kanagaraj,130,197.73,Biography
S.S. Rajamouli,117,135.28,Crime
Kabir Khan,164,457.07,Romantic Comedy
Karan Johar,170,148.21,Crime
Prashanth Neel,138,395.64,Comedy
Imtiaz Ali,137,45.82,Comedy
Vishal Bhardwaj,97,114.81,Animation
Kabir Khan,132,227.98,Romance
Zoya Akhtar,135,219.83,Crime
Anurag Kashyap,108,199.17,Musical
Kabir Khan,173,116.72,Biography
Ayan Mukerji,118,155.64,Comedy
Lokesh Kanagaraj,151,71.18,Comedy
Kabir Khan,113,257.41,Romantic Comedy
Rajkumar Hirani,165,375.58,Drama
Vishal Bhardwaj,126,151.48,Horror
Vishal Bhardwaj,135,280.17,Animation
Sandeep Reddy Vanga,123,121.73,Drama
Rajkumar Hirani,120,62.71,Biography
Lokesh Kanagaraj,139,54.11,Drama
Anurag Basu,166,21.23,Biography
Kabir Khan,93,21.02,Romance
Sanjay Leela Bhansali,103,38.41,Sci-Fi
Zoya Akhtar,178,126.0,Romantic Comedy
Vishal Bhardwaj,150,439.7,Crime
Atlee,169,128.46,Comedy
Rohit Shetty,94,311.52,Action
Atlee,127,129.21,Comedy
Anurag Kashyap,158,91.94,Action
Kabir Khan,103,203.77,Horror
Karan Johar,166,270.87,Musical
Anurag Basu,115,37.82,Romantic Comedy
Prashanth Neel,164,293.27,Action
Rohit Shetty,94,212.75,Action
S.S. Rajamouli,127,101.92,Biography
Mani Ratnam,154,259.81,Thriller
Rohit Shetty,128,115.76,Crime
Sanjay Leela Bhansali,110,83.4,Action
Imtiaz Ali,117,252.23,Romantic Comedy
S.S. Rajamouli,118,177.24,Animation
Vishal Bhardwaj,155,199.8,Animation
Lokesh Kanagaraj,112,293.89,Crime
S.S. Rajamouli,155,348.05,Romance
Imtiaz Ali,126,472.56,Thriller
Ayan Mukerji,101,446.28,Crime
Atlee,149,493.38,Horror
Vishal Bhardwaj,122,345.19,Action
Ayan Mukerji,94,51.85,Adventure
Anurag Kashyap,128,336.29,Comedy
S.S. Rajamouli,118,128.42,Crime
Shoojit Sircar,178,65.72,Musical
Kabir Khan,172,204.79,Drama
Lokesh Kanagaraj,121,245.41,Adventure
Atlee,142,340.16,Comedy
Sriram Raghavan,125,290.9,Crime
S.S. Rajamouli,126,405.89,Biography
Anurag Kashyap,120,304.99,Biography
Kabir Khan,167,327.59,Musical
Karan Johar,127,480.88,Musical
Atlee,157,205.8,Action
Anurag Basu,157,20.69,Horror
Karan Johar,164,282.75,Comedy
Imtiaz Ali,115,185.44,Comedy
Lokesh Kanagaraj,97,459.48,Adventure
Sandeep Reddy Vanga,136,105.24,Horror
Sriram Raghavan,154,268.48,Horror
Imtiaz Ali,115,465.41,Romantic Comedy
Lokesh Kanagaraj,152,216.35,Crime
Anurag Kashyap,90,181.21,Thriller
S.S. Rajamouli,97,119.51,Musical
Atlee,124,368.37,Animation
Zoya Akhtar,129,410.6,Crime
Anurag Basu,154,52.3,Animation
Ayan Mukerji,101,358.41,Historical
